iter	MultiClass
0	3.790405555
1	3.404666643
2	3.2107247
3	3.022794328
4	2.861239438
5	2.694675731
6	2.603317238
7	2.518545494
8	2.4469864
9	2.3857291
10	2.335989613
11	2.271748536
12	2.233237014
13	2.177732807
14	2.140770499
15	2.10097785
16	2.069532674
17	2.023833962
18	1.978039939
19	1.934894526
20	1.900810668
21	1.872382637
22	1.848435468
23	1.820357122
24	1.802898337
25	1.776150064
26	1.75633952
27	1.736711675
28	1.706562225
29	1.686665226
30	1.669060129
31	1.646481866
32	1.630360225
33	1.611177781
34	1.593653435
35	1.580823097
36	1.560464267
37	1.547562333
38	1.534606315
39	1.515855015
40	1.50458808
41	1.490587685
42	1.479533512
43	1.471981196
44	1.454299696
45	1.437826397
46	1.423117302
47	1.410296093
48	1.401748256
49	1.388975008
50	1.380172914
51	1.372261187
52	1.359405826
53	1.350229793
54	1.34067907
55	1.328622121
56	1.316657483
57	1.304800416
58	1.293929828
59	1.288538382
60	1.282748833
61	1.276624109
62	1.26884762
63	1.264246552
64	1.2512024
65	1.240960169
66	1.230937574
67	1.221589005
68	1.215583769
69	1.207102108
70	1.199973451
71	1.192824441
72	1.186112203
73	1.181322642
74	1.177248384
75	1.170085859
76	1.163423619
77	1.154814552
78	1.148058226
79	1.145003121
80	1.140885706
81	1.134018946
82	1.127396297
83	1.120681644
84	1.115933589
85	1.111113372
86	1.105305595
87	1.101479717
88	1.096234318
89	1.089977073
90	1.084803825
91	1.078766376
92	1.073407258
93	1.067337214
94	1.061882207
95	1.058714016
96	1.053973511
97	1.046714548
98	1.042030613
99	1.036882945
100	1.032651277
101	1.027374334
102	1.023463338
103	1.017692085
104	1.012588371
105	1.007809386
106	1.003916155
107	1.002578918
108	0.9993630503
109	0.9953794237
110	0.9905506912
111	0.9874509591
112	0.9837150857
113	0.9796758966
114	0.9766090559
115	0.9721265265
116	0.9701137532
117	0.9686925262
118	0.9652745921
119	0.9627130828
120	0.9594347577
121	0.9561275432
122	0.9508093031
123	0.9482944401
124	0.94671872
125	0.9428276976
126	0.9412310939
127	0.9379064715
128	0.933473138
129	0.9303398928
130	0.9277594191
131	0.923602174
132	0.9202786654
133	0.9178473742
134	0.9148770575
135	0.9138670676
136	0.9107883158
137	0.9086255563
138	0.9058063203
139	0.9035551479
140	0.9001261765
141	0.8977133843
142	0.8942309311
143	0.8916688751
144	0.8891780921
145	0.8876172069
146	0.8851335477
147	0.8833649711
148	0.8795675279
149	0.8765039318
150	0.8755535653
151	0.8746679951
152	0.871676001
153	0.8690626111
154	0.866010884
155	0.8633739756
156	0.8595483066
157	0.8560509864
158	0.8534157411
159	0.8510565085
160	0.8490759603
161	0.8464565138
162	0.8431538042
163	0.8404189507
164	0.8382875064
165	0.8362105111
166	0.8334721852
167	0.8311049567
168	0.8282788232
169	0.8258802362
170	0.8248846126
171	0.8232516074
172	0.8218254204
173	0.8196018788
174	0.8175619615
175	0.8156193515
176	0.813712981
177	0.8120695728
178	0.8097382231
179	0.8076843676
180	0.8058328986
181	0.8030999122
182	0.8007716044
183	0.7995869847
184	0.7981476165
185	0.79643329
186	0.7951595959
187	0.7947276144
188	0.7940788588
189	0.7922991878
190	0.7908824215
191	0.7889378839
192	0.7878328212
193	0.78625119
194	0.7850006038
195	0.7842823539
196	0.7821827637
197	0.7801006787
198	0.7788617175
199	0.7773734865
200	0.7759786073
201	0.7736553187
202	0.7718153694
203	0.7701453548
204	0.7685489668
205	0.7662409632
206	0.7640924217
207	0.7623235442
208	0.7613545772
209	0.7600482929
210	0.7583642383
211	0.7569065312
212	0.7554418817
213	0.7537655512
214	0.7531098103
215	0.7513276284
216	0.7501643571
217	0.7487396987
218	0.7471996271
219	0.746260031
220	0.7441931666
221	0.7429884113
222	0.7413947208
223	0.7399741718
224	0.7377580165
225	0.7367928726
226	0.7358708371
227	0.7348955825
228	0.7341686725
229	0.7332322804
230	0.7315818815
231	0.7306334445
232	0.7296538707
233	0.7285999624
234	0.7266646516
235	0.7245067749
236	0.7227579179
237	0.7216162505
238	0.7212352635
239	0.7201648298
240	0.719817079
241	0.7182400806
242	0.7168612642
243	0.7156445306
244	0.7149253199
245	0.7136494083
246	0.7117539335
247	0.710829304
248	0.7097448093
249	0.7087673394
250	0.7076439564
251	0.7064803769
252	0.7053944141
253	0.7043823291
254	0.7027738048
255	0.7013618349
256	0.6998911623
257	0.6990746419
258	0.6977775788
259	0.6973480681
260	0.6958375906
261	0.6948650609
262	0.6938971755
263	0.692698931
264	0.6912829597
265	0.6902025194
266	0.6896091826
267	0.6885525556
268	0.6877078585
269	0.6861008506
270	0.6846824622
271	0.6833283339
272	0.6825635377
273	0.6812910646
274	0.6802483171
275	0.6789783572
276	0.6774950621
277	0.6760919975
278	0.6748674125
279	0.6738970313
280	0.6734389769
281	0.6722459311
282	0.6711921834
283	0.6702916798
284	0.6697059645
285	0.6683022973
286	0.6673791559
287	0.6661782474
288	0.6651278581
289	0.6644366512
290	0.6631671853
291	0.6619431147
292	0.6609364706
293	0.659821259
294	0.6589310118
295	0.6580057891
296	0.656798059
297	0.6560806511
298	0.6553787463
299	0.6543407806
